City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Vila Velha,BR,1592584395,75,94,-20.33,-40.29,75.0,6.93
Mardin,TR,1592584550,20,21,37.31,40.74,89.6,13.87
Aksarka,RU,1592584550,91,54,66.56,67.8,52.2,6.98
Sinegor'ye,RU,1592584550,81,78,62.08,150.48,55.71,1.99
Nome,US,1592584550,75,82,64.5,-165.41,59.0,4.7
Teya,RU,1592584320,100,76,60.38,92.63,59.56,3.36
Dingle,PH,1592584325,84,82,11.0,122.67,75.88,1.43
Porto-Novo,BJ,1592583969,40,74,6.5,2.6,84.2,8.05
Tura,IN,1592583963,79,95,25.52,90.22,76.15,4.63
Christchurch,NZ,1592584428,12,100,-43.53,172.63,45.0,8.05
Campbell River,CA,1592584552,75,72,50.02,-125.24,66.2,3.36
Petropavlovsk-Kamchatskiy,RU,1592584552,90,100,53.05,158.65,41.0,2.24
Beringovskiy,RU,1592583967,44,59,63.05,179.32,47.91,7.02
Alekseyevsk,RU,1592584381,0,76,57.84,108.35,52.99,3.65
Kahului,US,1592584277,40,73,20.89,-156.47,77.0,14.99
Helong,CN,1592584552,27,86,42.54,129.0,54.37,2.73
Esim,GH,1592583967,99,73,4.87,-2.24,80.89,10.0
Clyde River,CA,1592584552,75,86,70.47,-68.59,33.8,11.41
Bondoukou,CI,1592584553,65,65,8.03,-2.8,83.21,3.51
Avera,US,1592583959,75,88,33.19,-82.53,84.2,1.81
Castro,BR,1592584553,1,63,-24.79,-50.01,70.83,8.79
Harwich,GB,1592584553,40,63,51.94,1.28,66.99,13.87
Iqaluit,CA,1592584553,90,80,63.75,-68.51,39.2,9.17
Plettenberg Bay,ZA,1592584553,0,37,-34.05,23.37,68.09,8.59
Nabire,ID,1592584553,75,86,-3.37,135.48,76.89,3.76
Zhuhai,CN,1592584553,20,83,22.28,113.57,87.01,10.29
Zhigansk,RU,1592583981,10,52,66.77,123.37,62.46,4.76
Ayorou,NE,1592584554,75,22,14.73,0.92,102.09,12.44
San Andrés,CO,1592583952,40,74,12.58,-81.7,87.8,13.87
Thinadhoo,MV,1592584334,53,68,0.53,72.93,84.87,1.28
Sørland,NO,1592583974,10,81,67.67,12.69,51.8,13.87
Te Anau,NZ,1592583974,88,85,-45.42,167.72,35.71,1.48
Somerset,US,1592584506,1,61,40.57,-74.55,82.99,3.36
Same,TZ,1592584554,50,72,-4.07,37.73,67.75,5.21
Boulder City,US,1592584548,1,11,35.98,-114.83,84.99,9.17
Kuching,MY,1592584555,40,100,1.55,110.33,77.0,2.24
Conway,US,1592584555,1,62,35.09,-92.44,84.2,5.82
Benguela,AO,1592584555,20,74,-12.58,13.41,80.6,6.93
Freetown,SL,1592584555,75,66,8.48,-13.23,86.0,6.93
Kamaishi,JP,1592584555,98,84,39.27,141.88,63.82,2.13
Provideniya,RU,1592584556,27,45,64.38,-173.3,56.14,4.36
Aegviidu,EE,1592584556,20,41,59.29,25.61,75.2,11.41
Ténenkou,ML,1592584556,84,28,14.46,-4.92,100.02,3.85
Paamiut,GL,1592584556,100,89,61.99,-49.67,37.4,8.39
Verāval,IN,1592584556,86,78,20.9,70.37,85.73,17.27
Dhārchula,IN,1592584556,46,66,29.85,80.53,70.11,2.95
Haines Junction,CA,1592584556,97,52,60.75,-137.51,57.16,4.76
Saldanha,ZA,1592584557,0,35,-33.01,17.94,71.6,9.17
Prizren,XK,1592584557,40,31,42.21,20.74,78.8,5.82
Am Timan,TD,1592584557,0,59,11.03,20.28,84.81,6.53
Nantucket,US,1592584557,90,88,41.28,-70.1,68.0,10.29
Talnakh,RU,1592584557,75,76,69.49,88.4,48.2,17.9
Río Gallegos,AR,1592584318,40,100,-51.62,-69.22,30.2,11.41
Maltahöhe,NA,1592584557,0,35,-24.83,16.98,57.16,10.25
Barra de Tecoanapa,MX,1592584558,100,55,16.52,-98.75,88.99,5.46
Luján,AR,1592584558,78,77,-34.57,-59.1,57.99,1.99
Hamilton,US,1592584361,1,57,39.18,-84.53,84.99,4.81
Tiksi,RU,1592584558,0,60,71.69,128.87,58.87,7.81
Trairi,BR,1592584558,16,69,-3.28,-39.27,84.36,12.26
Colesberg,ZA,1592584558,0,49,-30.72,25.1,48.2,6.44
Dawei,MM,1592584558,100,89,14.08,98.2,75.96,1.9
Kumul,CN,1592584558,66,17,42.8,93.45,85.95,11.32
Sisa,PE,1592584559,1,45,-6.62,-76.69,87.91,4.0
Prachuap Khiri Khan,TH,1592584265,66,83,11.82,99.78,79.97,5.79
Airai,TL,1592584559,99,100,-8.93,125.41,56.89,3.8
Constitución,CL,1592584559,61,82,-35.33,-72.42,57.11,5.7
Song Phi Nong,TH,1592584559,100,58,14.22,100.02,91.0,7.34
Ust-Kuyga,RU,1592584388,0,57,70.02,135.6,68.68,2.44
Kawalu,ID,1592584560,94,93,-7.38,108.21,72.73,1.3
Veroli,IT,1592584560,93,65,41.69,13.42,75.0,2.89
Bonnyville,CA,1592584560,75,44,54.27,-110.73,59.0,8.05
Santa Cruz de Tenerife,ES,1592584461,20,56,28.47,-16.25,72.0,9.17
Rocha,UY,1592584246,50,58,-34.48,-54.33,63.52,7.23
Goldsboro,US,1592584359,75,83,35.38,-77.99,78.8,5.82
Causapscal,CA,1592584561,4,26,48.35,-67.23,92.43,10.85
Adrar,MR,1592584561,0,9,20.5,-10.07,106.68,9.73
Arinos,BR,1592584561,10,43,-15.92,-46.11,83.53,5.5
Quatre Cocos,MU,1592584561,75,68,-20.21,57.76,72.0,14.99
Qaqortoq,GL,1592584059,75,37,60.72,-46.03,51.8,14.99
Santiago de Cao,PE,1592584561,0,74,-7.96,-79.24,67.48,13.82
Cortez,US,1592584561,1,26,37.35,-108.59,73.99,3.36
Bilibino,RU,1592584327,75,44,68.05,166.44,66.38,2.35
Linxia Chengguanzhen,CN,1592584562,23,66,35.6,103.21,62.13,2.08
Juxtlahuaca,MX,1592584562,99,58,17.43,-99.15,83.73,2.59
Stornoway,GB,1592584562,75,93,58.21,-6.39,57.2,6.93
Dubbo,AU,1592584562,90,87,-32.25,148.62,51.8,8.05
Puerto Palomas,MX,1592584562,1,9,31.77,-107.62,82.4,6.93
Kimbe,PG,1592584562,14,89,-5.55,150.14,75.58,4.25
Mogadishu,SO,1592584562,66,82,2.04,45.34,78.33,17.96
Cayenne,GF,1592584205,75,62,4.93,-52.33,87.8,9.17
Hirara,JP,1592584363,93,86,24.8,125.28,83.89,15.82
Luanda,AO,1592584539,20,88,-8.84,13.23,75.2,9.17
Salina,US,1592584563,90,93,38.84,-97.61,69.01,5.82
La Rioja,ES,1592584563,46,32,42.25,-2.5,82.4,9.17
Altay,CN,1592584563,67,41,47.87,88.12,57.58,5.55
San Ignacio,BZ,1592584564,75,79,17.16,-89.07,84.2,4.7
Aksu,CN,1592584564,29,33,41.12,80.26,70.29,6.29
Takoradze,GH,1592584564,71,78,4.88,-1.76,79.97,11.01
Mopti,ML,1592584564,78,46,14.67,-4.0,93.2,6.93
Erbil,IQ,1592584564,0,16,36.19,44.01,91.4,14.99
Leningradskiy,RU,1592584564,71,65,69.38,178.42,44.24,3.47
Gondanglegi,ID,1592584564,87,86,-7.75,112.01,74.1,9.04
Ossora,RU,1592584565,0,87,59.24,163.07,47.48,4.16
Palana,RU,1592583970,23,94,59.12,159.97,42.49,4.76
Gizo Government Station,SB,1592584392,13,77,-8.1,156.84,81.97,3.29
Tuatapere,NZ,1592584565,98,83,-46.13,167.68,39.0,3.0
Baykit,RU,1592584565,100,56,61.67,96.37,61.43,4.16
Yamada,JP,1592584565,99,89,39.47,141.95,62.85,0.67
Marawi,PH,1592584565,100,91,8.0,124.29,77.0,4.0
Padampur,IN,1592584565,1,20,29.68,73.62,103.84,12.57
Sambava,MG,1592584566,100,92,-14.27,50.17,70.16,20.6
Nuevo Progreso,MX,1592584566,20,58,23.17,-97.95,89.01,1.99
Dabou,CI,1592584566,20,74,5.33,-4.38,84.2,12.75
Nicoya,CR,1592584497,40,70,10.15,-85.45,84.2,3.36
Kavieng,PG,1592584566,4,75,-2.57,150.8,81.91,2.68
Gallup,US,1592584566,1,13,35.53,-108.74,75.0,13.87
Xai-Xai,MZ,1592583975,9,83,-25.05,33.64,64.49,5.57
Pacifica,US,1592584567,20,72,37.61,-122.49,66.99,6.93
Mittagong,AU,1592584567,37,89,-34.45,150.45,57.99,1.01
Yichang,CN,1592584568,86,81,30.71,111.28,70.0,0.45
Tamisan,PH,1592584568,100,79,6.84,126.3,79.21,4.99
Nizwá,OM,1592584383,74,32,22.93,57.53,94.24,11.48
Maunabo,PR,1592584568,22,73,18.01,-65.9,89.01,8.99
Northam,GB,1592584320,46,86,51.03,-4.22,60.01,7.0
Manado,ID,1592584435,40,94,1.49,124.85,75.2,3.36
Bantogon,PH,1592584569,100,82,6.53,124.03,77.77,3.53
Ulaangom,MN,1592584335,3,43,49.98,92.07,60.46,2.39
Vao,NC,1592584569,16,82,-22.67,167.48,69.71,14.83
Narsaq,GL,1592584569,75,37,60.92,-46.05,51.8,14.99
Kosh-Agach,RU,1592584569,31,44,50.0,88.67,53.42,4.43
Rosetta,EG,1592584569,40,69,31.4,30.42,78.8,11.41
Patterson,US,1592584569,1,27,37.47,-121.13,82.99,5.82
Samarai,PG,1592584570,51,85,-10.62,150.67,78.69,13.33
Pavino,RU,1592584570,66,72,59.11,46.14,65.95,7.96
Bengkulu,ID,1592584570,61,90,-3.8,102.27,76.19,4.47
Chochola,MX,1592584570,75,74,20.75,-89.83,86.0,12.75
Shemordan,RU,1592584570,3,81,56.19,50.4,57.16,7.23
Yining,CN,1592584385,88,89,29.04,114.56,72.48,1.05
Tara,RU,1592584646,56,88,56.89,74.37,40.12,6.26
Piripiri,BR,1592584646,24,52,-4.27,-41.78,89.13,5.97
Dolores,AR,1592584646,98,57,-36.31,-57.68,59.49,6.96
Carutapera,BR,1592584647,5,80,-1.2,-46.02,82.53,9.33
Härnösand,SE,1592584647,1,60,62.63,17.94,71.01,9.17
Kargat,RU,1592584647,77,86,55.2,80.28,44.8,5.61
